model,stage,path,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13032026_yolo8l,50,/home/swarl/projects/YOLOv8/models/yolo8l/13032026_yolo8l_e50,50.0,158.434,1.27525,0.56362,0.5348,0.94265,0.93305,0.96543,0.64216,1.28066,0.58223,0.55179,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8l,100,/home/swarl/projects/YOLOv8/models/yolo8l/13032026_yolo8l_e100,50.0,157.445,1.0341,0.4592,0.52349,0.97601,0.94979,0.977,0.69226,1.13899,0.49736,0.54289,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8l,150,/home/swarl/projects/YOLOv8/models/yolo8l/13032026_yolo8l_e150,50.0,151.766,0.95363,0.42637,0.51882,0.98137,0.96749,0.97919,0.71465,1.11076,0.46655,0.54207,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8l,200,/home/swarl/projects/YOLOv8/models/yolo8l/13032026_yolo8l_e200,50.0,137.522,0.9107,0.40973,0.51743,0.96351,0.96784,0.9837,0.71459,1.13026,0.49124,0.54275,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,50,/home/swarl/projects/YOLOv8/models/yolo8m/13032026_yolo8m_e50,50.0,112.171,1.22971,0.55225,0.53103,0.95868,0.95135,0.95842,0.64427,1.25326,0.57086,0.54924,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,100,/home/swarl/projects/YOLOv8/models/yolo8m/13032026_yolo8m_e100,50.0,108.583,1.02283,0.45321,0.52283,0.97493,0.95826,0.97744,0.70234,1.13536,0.51196,0.54414,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,150,/home/swarl/projects/YOLOv8/models/yolo8m/13032026_yolo8m_e150,50.0,102.321,0.91963,0.41107,0.51839,0.97685,0.98117,0.98881,0.71922,1.11755,0.47346,0.54123,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,200,/home/swarl/projects/YOLOv8/models/yolo8m/13032026_yolo8m_e200,50.0,94.7058,0.88307,0.39653,0.51635,0.97849,0.97903,0.98637,0.70957,1.13772,0.49711,0.54296,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,50,/home/swarl/projects/YOLOv8/models/yolo8n/13032026_yolo8n_e50,50.0,54.7252,1.68419,1.05226,0.553,0.79422,0.83429,0.84166,0.48765,1.59396,0.94759,0.56959,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,100,/home/swarl/projects/YOLOv8/models/yolo8n/13032026_yolo8n_e100,50.0,52.4261,1.44535,0.75172,0.53999,0.93519,0.9291,0.96388,0.59968,1.38923,0.72427,0.55505,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,150,/home/swarl/projects/YOLOv8/models/yolo8n/13032026_yolo8n_e150,50.0,51.643,1.29891,0.67327,0.53392,0.96503,0.93328,0.97036,0.61087,1.35344,0.67349,0.55229,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,200,/home/swarl/projects/YOLOv8/models/yolo8n/13032026_yolo8n_e200,50.0,51.4006,1.2119,0.60729,0.53102,0.96454,0.9547,0.97734,0.6388,1.29252,0.59846,0.55,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,50,/home/swarl/projects/YOLOv8/models/yolo8s/13032026_yolo8s_e50,50.0,75.045,1.40287,0.65876,0.53848,0.96482,0.95184,0.97094,0.61288,1.36219,0.63802,0.55341,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,100,/home/swarl/projects/YOLOv8/models/yolo8s/13032026_yolo8s_e100,50.0,70.1661,1.18082,0.52644,0.5297,0.97868,0.95062,0.97541,0.66697,1.22115,0.54707,0.54821,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,150,/home/swarl/projects/YOLOv8/models/yolo8s/13032026_yolo8s_e150,50.0,67.2687,1.05367,0.46804,0.52416,0.96868,0.9749,0.97908,0.67049,1.17766,0.50426,0.54632,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,200,/home/swarl/projects/YOLOv8/models/yolo8s/13032026_yolo8s_e200,50.0,65.8182,1.00377,0.4451,0.52142,0.98585,0.96862,0.98429,0.68739,1.16831,0.49351,0.54491,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,50,/home/swarl/projects/YOLOv8/models/yolo8x/13032026_yolo8x_e50,50.0,228.907,1.16169,0.4859,0.52845,0.97276,0.93674,0.97432,0.66566,1.24988,0.49831,0.55341,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,100,/home/swarl/projects/YOLOv8/models/yolo8x/13032026_yolo8x_e100,50.0,201.899,1.02114,0.44163,0.52311,0.97588,0.96025,0.97693,0.70216,1.15437,0.46512,0.54861,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,150,/home/swarl/projects/YOLOv8/models/yolo8x/13032026_yolo8x_e150,50.0,195.8,0.90447,0.40083,0.51609,0.98679,0.96224,0.98474,0.71386,1.14717,0.47194,0.54588,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,200,/home/swarl/projects/YOLOv8/models/yolo8x/13032026_yolo8x_e200,50.0,199.458,0.89349,0.40073,0.51655,0.98132,0.97699,0.9862,0.72337,1.13529,0.46793,0.54605,4.96766e-05,4.96766e-05,4.96766e-05
