dataset_source,model,epoch_stage,metric_value,metric_name
model_11,yolo11x,300,0.73652,metrics/mAP50-95(B)
model_11_fusion_2_datasets,yolo11m,300,0.8522,metrics/mAP50-95(B)
models_11_l1_l2,yolo11m,300,0.74851,metrics/mAP50-95(B)
models_12,yolo12m,300,0.7192,metrics/mAP50-95(B)
models_12_fusion_2_datasets,yolo12m,300,0.84919,metrics/mAP50-95(B)
models_12_l1_l2,yolo12m,300,0.74173,metrics/mAP50-95(B)
models_26,yolo26l,200,0.7302,metrics/mAP50-95(B)
models_26_l1_l2,yolo26x,300,0.7607,metrics/mAP50-95(B)
models_8,yolo8x,200,0.72337,metrics/mAP50-95(B)
models_8_l1_l2,yolov8x,300,0.74831,metrics/mAP50-95(B)
